,text,prediction
0,@WestJet reserve#US786295570 (after other was cancelled),negative
1,"@WestJet ordered car for $188, wrong drop off time, tried to change, now owe $400????want back my original. cartrawler said too bad",negative
2,Deadheading on #westjetencore #q400  to #torontoairport #torontopearson from #londonairport @WestJet… https://t.co/alegMsGKIT,neutral
3,Thanks @SunwingVacay for almost making us miss our flight out of Mexico and if you thought @WestJet seats were cramped don't try sunwing,negative
4,"@WestJet your customer service agent HUNG UP on me, I wasn't rude either",negative
5,@WestJet (3) but really disappointed. Assumed understanding when representing our country and can't stuff a gown in carry on as asked. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B1><U+008E>,negative
6,@WestJet (2) of Regina was told to use kiosk while she stared from her desk then was 2lb over with gowns and was charged. And rude. Paid.,negative
7,"@WestJet (1/2)flying to Regina was a great experience! Very supportive of me representing yyc at mrs Canada. However, flying out from",negative
8,RT @CdnSportTourism: Meet @SportBurnaby  #PRESTIGE Award finalist: CSTA Sport Tourism Organization of the Year Award presented by @WestJet…,negative
9,RT @CdnSportTourism: Meet @GranFondoBSM  #PRESTIGE Award finalist:CSTA Sport Tourism Organization of the Year Award presented by @WestJet #…,negative
10,#Westjet passengers #UVF #StLucia to #Toronto needed to accompany #dogs to #YYZ airport. Thanks @WestJet  #lowfee… https://t.co/LIR5lsvo3Y,negative
11,@BbyGord @WestJet airline vouchers are meant to be given out with hope they expire before use ;),negative
12,@WestJet please help Car Trawler has screwed me over,negative
13,#ymm @WestJet flight delayed 45 mins. Customer service rep finds me in restaurant and gives gift card and apologizes for delay #ownerscare,negative
14,"@WestJet multiple calls,  Dept transfers, multiple made up roadblocks, on hold, then told can only book 30 days in advance.",negative
15,No such thing as concise procedure and customer service anymore. Failed multiple times now trying to use vouchers for @WestJet,negative
16,@British_Airways if this was @WestJet they would've went above and beyond. Very upset your staff gave wrong info to me,negative
17,@WestJet yes directly from Canada ... both times I was redirected to a cruise scam,negative
18,"@WestJet it's a debit card, dunno if that might be the problem? haven't got a credit card.",negative
19,@WestJet yep. it's a UK address. https://t.co/25eWldS19Q,neutral
20,@WestJet what is going on with your phone lines today? Everytime I call I'm redirected to a cruise scam?,negative
