,text,Airline,prediction
0,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
1,"@AmericanAir I don't think you do!! 90% of the flights I've had with you my bags delayed, flights cancelled, bookings cancelled etc.",Americanair,negative
2,@AmericanAir they said it was due to size and I have never once had a problem fitting it on American flights. New airline here I come,Americanair,negative
3,"Amazon, SeaWorld, @AmericanAir Downgraded - @Schaeffers (blog) : https://t.co/g0QTn38IH4",Americanair,negative
4,"Julie, @AmericanAir manager in Bozeman, MT, thanks much for the upgrade after yesterday. Glad to have met you and wish you the best!",Americanair,negative
5,Is San Francisco America’s New Art Capital? In Celebrated Living for @AmericanAir #WeAreTravelMedia… https://t.co/RrulHzMw03,Americanair,negative
6,"@AmericanAir nah, you've had multiple chances this tear alone. Inexcusable customer service and just not giving a dam, I'm over it!!",Americanair,negative
7,@AmericanAir with that totally random flight cancellation <ed><U+00A0><U+00BD><ed><U+00B1><U+0080>,Americanair,negative
8,@AmericanAir what isn't going on is the problem.,Americanair,negative
9,Baffled by @AmericanAir boarding  passengers with full knowledge that the captain is still on an inbound  flight. SMH. #FAIL,Americanair,negative
10,"@AmericanAir it doesn't seem you DO actually welcome and accommodate families. How about reexamining your policies? 
https://t.co/4lrfcLTMob",Americanair,negative
11,Hey @AmericanAir - getting harder to fly with you. So disappointed in your changes &amp; lack of service.  No reason to be EXP. #tired,Americanair,negative
12,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
13,Hey @united @TMobile @JohnLegere why no free wifi like @AmericanAir @Delta #wheresfreewifi,Americanair,negative
14,@AmericanAir That is not even a respectable excuse. Putting non rev ahead of paying (even with mileage) is not the way to maintain customers,Americanair,negative
15,@AmericanAir which is great. Your ceo made $12 mill last year. Maybe pay him a few mill less and hire enough ppl?,Americanair,negative
16,RT @RandyStillinger: 5 days 'til @AmericanAir flies a charter w/ 25 #MedalofHonor recipients to DC for Medal of Honor Day (check out front…,Americanair,negative
17,"Danielle: ""We will never fly .@AmericanAir again. Did the same to me.""",Americanair,negative
18,"Chong: ""People pay to board early"" - as if you should feel ashamed to be left out of such a privileged group. @AmericanAir",Americanair,negative
19,@AmericanAir thanks for checking.  Your social team has THE best service for travelers. I speak from experience with you (and others). <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>,Americanair,negative
20,"RT @andreaahles: Week in Review: Three years after merger, @AmericanAir mechanics don't have a joint contract https://t.co/sAHCwwZAtE",Americanair,negative
21,"Hannah: I have found .@Delta and .@VirginAtlanticto be accommodating for domestic. I love .@emirates for international travel! 
@AmericanAir",Americanair,negative
22,RT @RandyStillinger: 5 days 'til @AmericanAir flies a charter w/ 25 #MedalofHonor recipients to DC for Medal of Honor Day (check out front…,Americanair,negative
23,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
24,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,Americanair,neutral
25,"@AmericanAir just did, thanks again!",Americanair,positive
26,#TFW you finally get off your @AmericanAir flight that taxied for over an hour. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> https://t.co/TyAlTpAWFC,Americanair,negative
27,"Amanda: If the .@SouthwestAirplane is crowded, attendants make it a priority that families get to sit together. Taking notes, @AmericanAir?",Americanair,negative
28,NIGGER NIGGER NIGGER @Twitter @AmericanAir @DELTA ISIS https://t.co/0xxXOYhKjR,Americanair,negative
29,"RT @andreaahles: Week in Review: Three years after merger, @AmericanAir mechanics don't have a joint contract https://t.co/sAHCwwZAtE",Americanair,negative
30,"Week in Review: Three years after merger, @AmericanAir mechanics don't have a joint contract https://t.co/sAHCwwZAtE",Americanair,negative
31,"Week in Review: Three years after merger, @AmericanAir mechanics don't have a joint contract https://t.co/qPfKc9tWzc",Americanair,negative
32,@MissSaintXXX @AmericanAir I avoid American at all costs!!,Americanair,negative
33,"@AmericanAir Standing in line once again because the ""Customer Discount Coupon"" doesn't even work and all rooms are booked!  So disappointed",Americanair,negative
34,"@AmericanAir not only has ur airline caused me to sit in an airport for over 24 hours, ive gotten nothing but rude responses from all agents",Americanair,negative
35,"@AmericanAir unfortunately made the mistake of booking @united, who put me on an @aircanada flight. Next time! <ed><U+00A0><U+00BD><ed><U+00B8><U+0093>",Americanair,negative
36,"Monte: ""I've been traveling alone with two kids for a few years now and it is NOT easy."" .@AmericanAir",Americanair,negative
