,text,Airline,prediction
0,@TomPodolec @AirCanada @flightradar24 @yulplanespotter @AirportWebcams On ground! Ground services on runway,AirCanada,negative
1,"Update @AirCanada #AC17 returning #Montreal. Right engine shut down. Pilot: ""We\'ll have to dump significant amount… https://t.co/Rmw5Qwx78h",AirCanada,negative
2,.@AirCanada Announces Renewal of Shareholder Rights Plan https://t.co/tM9wCu3QtT,AirCanada,negative
3,@AirCanada the 777 is a nice plane,AirCanada,negative
4,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
5,"On @AirCanada, upgrades now go to the highest BIDDER! 💸https://t.co/kkZBU0Nb5x#flights #travel #aircanada #bidder… https://t.co/pGOsfKCtZ3",AirCanada,negative
6,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
7,@AirCanada I just checked in but my seat says GTE. Does this mean I may or may not get a Seat ?,AirCanada,negative
8,RT @aaronbalinskyAC: Now that is customer service! @AirCanada gate agent holds a woman\'s child while she checks her bag for her boarding pa…,AirCanada,negative
9,"My warmest thanks for your warm island welcome ☀️😍 soon coming back, you\'ll be the first to know after @AirCanada 👍… https://t.co/a5d00wtQYw",AirCanada,negative
10,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
11,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
12,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
13,.@AirCanada #AC17 to Shanghai returning to Montreal. Reported one engine shut down. (C-GHPU Boeing 787-8) h/t… https://t.co/P3JLAaCYfQ,AirCanada,negative
14,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
15,"@yulplanespotter @AirCanada @flightradar24 @TomPodolec it\'s right above my house,better not going outside!",AirCanada,negative
16,"We have our amazing @NHL Fans, families,players and partners that fly @AirCanada everyday. Customer Service not exploiting is Business #101.",AirCanada,negative
17,"And ""Preferred Customers"" that fly @AirCanada weekly shouldn\'t be taken advantage of. ESP being part of the @NHL Family for 20yrs.",AirCanada,negative
18,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
19,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
20,"@AirCanada When you\'re an @NHL Sponsor, it\'s unethical for one of your live agents change price quote by $800 in 30 Seconds.",AirCanada,negative
21,@AirCanada @flightradar24 @TomPodolec Emergency crew stand by https://t.co/hT0XwyeYME,AirCanada,negative
22,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
23,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
24,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
25,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
26,RT @yulplanespotter: Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (@flightradar24)…,AirCanada,negative
27,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
28,RT @CTVCalgary: Letter to @AirCanada CEO lands 11-year-old boy a VIP tour at @FlyYYC. @CTVBradMacLeod reports  https://t.co/q5lCsmkDyG #yyc…,AirCanada,negative
29,@yulplanespotter @AirCanada @flightradar24 @TomPodolec A lot of fuel inside...,AirCanada,negative
30,Emergancy in progress! @AirCanada #b787 right engine shut down. Dumping fuel and will return to #YUL (… https://t.co/9WWj3pzAdD,AirCanada,negative
31, @AirCanada Foundation! #championsforkids @cmncanada https://t.co/FICYSZRJed,en,neutral
32,@TomPodolec Problem with @AirCanada 17. Going back to YUL. Emergency with one engine.,AirCanada,negative
33,"RT @avachae: with service to #haneda #narita #osaka &amp; soon #nagoya, explore #japan w/ @AirCanada ! another great evening with our partner @…",AirCanada,negative
34,RT @AirCanada: Enhance your travel experience in Intl. #Business Class with luxurious amenities available onboard our #B787 and retrofitted…,AirCanada,negative
35,Mountain Side #alberta #banff #banffnationalpark #parkscanada #canada150  #aircanada  @aircanada… https://t.co/tyDAIgeXl1,AirCanada,negative
